section,topic,slug,intent,source_url,created_at
life-path,Life Path 1: Meaning in Love and Career,life-path-1-meaning-in-love-and-career,high,,2026-01-29T20:46:00.387270Z
life-path,"Life Path 1: Strengths, Challenges, and Purpose",life-path-1-strengths-challenges-and-purpose,high,,2026-01-29T20:46:00.387310Z
life-path,How Life Path 1 Shows Up in Relationships,how-life-path-1-shows-up-in-relationships,high,,2026-01-29T20:46:00.387328Z
life-path,Life Path 1 Compatibility: Best Matches and Red Flags,life-path-1-compatibility-best-matches-and-red-flags,high,,2026-01-29T20:46:00.387344Z
life-path,Life Path 2: Meaning in Love and Career,life-path-2-meaning-in-love-and-career,high,,2026-01-29T20:46:00.387356Z
life-path,"Life Path 2: Strengths, Challenges, and Purpose",life-path-2-strengths-challenges-and-purpose,high,,2026-01-29T20:46:00.387369Z
life-path,How Life Path 2 Shows Up in Relationships,how-life-path-2-shows-up-in-relationships,high,,2026-01-29T20:46:00.387380Z
life-path,Life Path 2 Compatibility: Best Matches and Red Flags,life-path-2-compatibility-best-matches-and-red-flags,high,,2026-01-29T20:46:00.387392Z
life-path,Life Path 3: Meaning in Love and Career,life-path-3-meaning-in-love-and-career,high,,2026-01-29T20:46:00.387403Z
life-path,"Life Path 3: Strengths, Challenges, and Purpose",life-path-3-strengths-challenges-and-purpose,high,,2026-01-29T20:46:00.387420Z
life-path,How Life Path 3 Shows Up in Relationships,how-life-path-3-shows-up-in-relationships,high,,2026-01-29T20:46:00.387431Z
life-path,Life Path 3 Compatibility: Best Matches and Red Flags,life-path-3-compatibility-best-matches-and-red-flags,high,,2026-01-29T20:46:00.387443Z
life-path,Life Path 4: Meaning in Love and Career,life-path-4-meaning-in-love-and-career,high,,2026-01-29T20:46:00.387454Z
life-path,"Life Path 4: Strengths, Challenges, and Purpose",life-path-4-strengths-challenges-and-purpose,high,,2026-01-29T20:46:00.387465Z
life-path,How Life Path 4 Shows Up in Relationships,how-life-path-4-shows-up-in-relationships,high,,2026-01-29T20:46:00.387475Z
life-path,Life Path 4 Compatibility: Best Matches and Red Flags,life-path-4-compatibility-best-matches-and-red-flags,high,,2026-01-29T20:46:00.387494Z
life-path,Life Path 5: Meaning in Love and Career,life-path-5-meaning-in-love-and-career,high,,2026-01-29T20:46:00.387506Z
